codigo	unidade	data_publicacao	data_validade	descricao_unidade	
7135090	KG	01/01/2016		Quilograma	
7136010	KG	01/01/2016		Quilograma	
7136090	KG	01/01/2016		Quilograma	
7139010	KG	01/01/2016		Quilograma	
7139090	KG	01/01/2016		Quilograma	
7141000	KG	01/01/2016		Quilograma	
7142000	KG	01/01/2016		Quilograma	
7143000	KG	01/01/2016		Quilograma	
7144000	KG	01/01/2016		Quilograma	
7145000	KG	01/01/2016		Quilograma	
7149000	KG	01/01/2016		Quilograma	
8011100	KG	01/01/2016		Quilograma	
8011200	KG	01/01/2016		Quilograma	
8011900	KG	01/01/2016		Quilograma	
8012100	KG	01/01/2016		Quilograma	
8012200	KG	01/01/2016		Quilograma	
8013100	KG	01/01/2016		Quilograma	
8013200	KG	01/01/2016		Quilograma	
8021100	KG	01/01/2016		Quilograma	
8021200	KG	01/01/2016		Quilograma	
8022100	KG	01/01/2016		Quilograma	
8022200	KG	01/01/2016		Quilograma	
8023100	KG	01/01/2016		Quilograma	
8023200	KG	01/01/2016		Quilograma	
8024100	KG	01/01/2016		Quilograma	
8024200	KG	01/01/2016		Quilograma	
8025100	KG	01/01/2016		Quilograma	
8025200	KG	01/01/2016		Quilograma	
8026100	KG	01/01/2016		Quilograma	
8026200	KG	01/01/2016		Quilograma	
8027000	KG	01/01/2016		Quilograma	
8028000	KG	01/01/2016		Quilograma	
8029000	KG	01/01/2016		Quilograma	
8031000	KG	01/01/2016		Quilograma	
8039000	KG	01/01/2016		Quilograma	
8041010	KG	01/01/2016		Quilograma	
8041020	KG	01/01/2016		Quilograma	
8042010	KG	01/01/2016		Quilograma	
